iter	RMSE
446	1.227281257
447	1.226144309
448	1.22502964
449	1.22376398
450	1.221810356
451	1.220250783
452	1.220040011
453	1.219161153
454	1.218092186
455	1.216276038
456	1.214564483
457	1.213319619
458	1.211828532
459	1.21022963
460	1.210077942
461	1.209302007
462	1.208537362
463	1.207142243
464	1.204681459
465	1.203585075
466	1.202608245
467	1.200546476
468	1.198951342
469	1.197846907
470	1.196932377
471	1.195812875
472	1.194196818
473	1.193046191
474	1.192138646
475	1.19065092
476	1.19042509
477	1.189755965
478	1.189408972
479	1.188057457
480	1.186521362
481	1.185213668
482	1.182975251
483	1.180965197
484	1.180486103
485	1.179364367
486	1.177241528
487	1.176058817
488	1.175154947
489	1.17404766
490	1.172982982
491	1.172135271
492	1.172021829
493	1.171050696
494	1.170422491
495	1.169307217
496	1.169196646
497	1.168330003
498	1.16796728
499	1.167124527
500	1.166100668
501	1.165187011
502	1.163992759
503	1.163726147
504	1.163158748
505	1.162176944
506	1.160751927
507	1.160030723
508	1.158781623
509	1.157200559
510	1.156416763
511	1.156174818
512	1.155682827
513	1.154623539
514	1.153656099
515	1.152448615
516	1.150570314
517	1.149925447
518	1.147815263
519	1.147670277
520	1.146775633
521	1.146665604
522	1.145413892
523	1.144496469
524	1.144042697
525	1.142917607
526	1.142291187
527	1.141990778
528	1.139704187
529	1.138644089
530	1.138081971
531	1.137512935
532	1.136984308
533	1.136423617
534	1.135491155
535	1.134901131
536	1.133857332
537	1.131929257
538	1.131243935
539	1.130838655
540	1.129159838
541	1.127386657
542	1.126100561
543	1.124821943
544	1.122971104
545	1.122072908
546	1.12106327
547	1.120487253
548	1.119801053
549	1.11924082
550	1.118315954
551	1.117649452
552	1.117470568
553	1.115940853
554	1.114838589
555	1.11448126
556	1.11286169
557	1.112735572
558	1.112563076
559	1.11067576
560	1.109503087
561	1.109336503
562	1.108935041
